tituloProduto,preco,descricao,imgProduto,catProduto,classProduto,exibirHome
Formato cenoura,29.40,"Surpreenda seu cão com um petisco da Azul Dog, preparado com ingredientes de qualidade. Sua textura macia e flexível é irresistível, tornando cada momento especial cheio de sabor e diversão. Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/cenoura.webp,Petiscos,Novidades,True
Orelha suína desidratada,70.80,"Produto indicado para cães de porte P/M/G, produto desidratado naturalmente, Livre de conservantes, ingredientes selecionados, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/orelha.webp,Petiscos,Novidades,True
Bisco osso sabor chocolate,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/ossochocolate.webp,Petiscos,Novidades,True
Trança flex sabor menta,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/ossoverde.webp,Petiscos,Novidades,True
Reggae,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/reggae.webp,Petiscos,Novidades,True
Palito Fino,20.30,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/PalitoFino4.webp,Petiscos,Novidades,True
Tubets,39.90,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/Tubets.webp,Petiscos,Novidades,True
Palito de Frango,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/PalitoFrango.webp,Petiscos,Novidades,True
Pulmão Bovino desidratado,5.60,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/pulmao.webp,Petiscos,Mais_Vendidos,True
Nó gourmet 3x4 com batata doce,30.80,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/batata.webp,Petiscos,Mais_Vendidos,True
Trança reggae,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/reggae.webp,Petiscos,Mais_Vendidos,True
Loop mix,29.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/Loop.webp,Petiscos,Mais_Vendidos,True
Orelha suína desidratada,23.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/orelha.webp,Petiscos,Mais_Vendidos,True
Orelha suína desidratada,27.40,"Produto indicado para cães de porte P/M/G, contém conservantes naturais a base de alecrim, ingredientes selecionados, contém aveia que auxilia na digestão, composto vitamínico, hexametafosfato que ajuda na prevenção de tártaros, atrativo, saboroso, alivia o estresse canino, estimula a mastigação, favorece o enriquecimento ambiental promovendo saúde e bem-estar, utilizado como agrado e recompensa.",./images/orelha.webp,Petiscos,Mais_Vendidos,True